127.0.0.1 - - [14/Nov/2020:13:47:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10229
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /JABA/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /JABA/css/section.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /JABA/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /JABA/css/html5_reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /JABA/images/jaba_english_white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:47:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:50:23 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:51:05 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:55:13 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10261
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:55:21 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10267
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:55:36 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [14/Nov/2020:13:56:47 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10290
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:03:27 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:12:44 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:15:28 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10334
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:28:56 +0900] "GET /JABA/index.jsp HTTP/1.1" 200 15319
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:34:48 +0900] "GET /JABA/store_menu.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:34:55 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 10334
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:42:14 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 21551
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:42:31 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 22423
0:0:0:0:0:0:0:1 - - [14/Nov/2020:14:44:27 +0900] "GET /JABA/menu.jsp HTTP/1.1" 200 22449
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:17:16 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 15319
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:19:28 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 15140
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:21:18 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 14878
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:22:06 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 14902
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:23:20 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 12611
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:24:00 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 9465
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:24:24 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:25:55 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 9295
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:26:10 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 9299
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:31:29 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10922
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:31:29 +0900] "GET /JABA/img/m_gnb_btn.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:32:17 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10934
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:32:17 +0900] "GET /JABA/img/m_gnb_btn.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:32:51 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10948
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:33:35 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10960
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:34:02 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10958
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:34:14 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10958
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:35:00 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10959
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:36:09 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:37:30 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10848
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:37:54 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10769
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:38:05 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10769
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:47:12 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10766
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:50:33 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:50:40 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:18:15 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:18:15 +0900] "GET /JABA/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:18:15 +0900] "GET /JABA/css/html5_reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:18:15 +0900] "GET /JABA/images/jaba_logo.png HTTP/1.1" 200 17141
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:19:25 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:19:25 +0900] "GET /JABA/images/jaba_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:19:37 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:19:37 +0900] "GET /JABA/images/jaba_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:19:48 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:19:48 +0900] "GET /JABA/images/jaba_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:23:54 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10843
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:23:54 +0900] "GET /JABA/images/jaba_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:23:54 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10843
0:0:0:0:0:0:0:1 - - [14/Nov/2020:16:27:00 +0900] "GET /JABA/adminMain_ex.jsp HTTP/1.1" 200 10847
